Title,Item Type,MRP (in INR),Floor Price,GR Price
HAIER SAC 1.5T 3SINV HSU50CP-PNW3BN,AC,33490,19424.2,100
LG SAC 1.5T 5SINV US-Q19KWZE,AC,45990,26674.2,100
LG DC 185L 3S GL-B201APZD SNY SL,REF,16890,9796.2,100
LG DC 185L 3S GL-B201APZD SNY SL,REF,16890,9796.2,100
SAMSUNG DC 183L 3S RR20C1/2823CU CAM BLU,REF,17790,10318.2,100
SAMSUNG DC 215L 5S RR23D2H259R/HL,REF,22990,13334.2,100
SAMSUNG FF 236L 2S RT28C3042S8 ELGNT INX,REF,25290,14668.2,100
LG FF 466L 2S GL-T492MPZY Shiny Steel,REF,60490,35084.2,100
LG FF 343L 3S GL-T382TPZX Shiny Steel,REF,45990,26674.2,100
SAMSUNG FF 330L 2S RT34DG5A2BS8HL El Ino,REF,43490,25224.2,100
SAMSUNG FF 330L 2S RT34DG5A2BS8HL El Ino,REF,43490,25224.2,100
SAMSUNG FF 330L 2S RT34DG5A2BBXHL Lux Bl,REF,42590,24702.2,100
SAMSUNG FF 419L 2S RT45DG6A2BSLHL Cl St,REF,53990,31314.2,100
SAMSUNG FF 330L 2S RT34DG5A2BS8HL El Ino,REF,43490,25224.2,100
SAMSUNG FF 236L 2S RT28C3042S8 ELGNT INX,REF,25290,14668.2,100
SAMSUNG FF 330L 2S RT34DG5A2BBXHL Lux Bl,REF,42590,24702.2,100
SS FF 256L 2S RT30C3732S8 Elegant Inox,REF,31200,18096,100
SS SBS 653L RS76CB81A312 WHITE,REF,116990,67854.2,100
SS FF 236L 2S RT28C3832S8 Elegant Inox,REF,31290,18148.2,100
SAMSUNG FF 330L 2S RT34DG5A2BBXHL Lux Bl,REF,42590,24702.2,100
SAMSUNG FF 236L 2S RT28C3732S8 ELGNT INX,REF,28240,16379.2,100
SAMSUNG FF 330L 2S RT34DG5A2BBXHL Lux Bl,REF,42590,24702.2,100
SS FF 236L 2S RT28C3832S8 Elegant Inox,REF,31290,18148.2,100
SAMSUNG SBS 653L 3S RS76CG8113SL RLSTNLS,REF,93990,54514.2,100
SAMSUNG FF 330L 2S RT34DG5A2BS8HL El Ino,REF,43490,25224.2,100
LG 288 Liter GL-S322SPZY.APZZEBN,REF,34500,20010,100
samsung 236 Liter RT28C3832S8HL,REF,31300,18154,100
samsung 301RT34C4522S8HL,REF,39000,22620,100
HAIER SBS 602L HRS-682KS BLACK SL,REF,69990,40594.2,100
,,,,
,,,,
