Title,Item Type,MRP (in INR),Floor Price,GR Price
SAMSUNG SBS G580/N550L RF57A5032B1 BLK,Refrigerator,108990,42506.1,76293
SAMSUNG W/M TL 7KG WA70BG4441BYTL DGRY,Washing Machine,22500,8775,15750
SAMSUNG FF 236L RT28C3042S8/HL ELGINX 2S,Refrigerator,32990,12866.1,23093
SAMSUNG FF 419L RT45DG6A4DBXHL LXE BK 3S,Refrigerator,63190,24644.1,44233
SAMSUNG FF 350L RT38DG5A2BBXHL LX BLK 2S,Refrigerator,57990,22616.1,40593
SAMSUNG WM TL 8KG WA80F08S2CTL BLK 5S,Washing Machine,31990,12476.1,22393
SAMSUNG FF 256L RT30C3732BX/HL BLK 2S,Refrigerator,43990,17156.1,30793
SAMSUNG LED UA75U8000F 4K UHD,Television,124900,48711,87430
HP KM250 WIRELESS KEYBOARD & MOUSE COMBO,Accessories Desktop and Laptop,1999,779.61,1399.3
HP KM250 WIRELESS KEYBOARD & MOUSE COMBO,Accessories Desktop and Laptop,1999,779.61,1399.3
HP KM250 WIRELESS KEYBOARD & MOUSE COMBO,Accessories Desktop and Laptop,1999,779.61,1399.3
HP KM250 WIRELESS KEYBOARD & MOUSE COMBO,Accessories Desktop and Laptop,1999,779.61,1399.3
HP KM250 WIRELESS KEYBOARD & MOUSE COMBO,Accessories Desktop and Laptop,1999,779.61,1399.3
HYPERX CLOUD STINGER CORE GAMING HEADSET,Accessories mobiles and Tablets,4667,1820.13,3266.9
HP KM250 WIRELESS KEYBOARD & MOUSE COMBO,Accessories Desktop and Laptop,1999,779.61,1399.3
HP KM250 WIRELESS KEYBOARD & MOUSE COMBO,Accessories Desktop and Laptop,1999,779.61,1399.3
SAMSUNG SBS 653L RS76CG8113SLHL STL 3S,Refrigerator,130000,50700,91000
SAMSUNG FF 330L RT34DG5A2BS8HL INX 2S,Refrigerator,53990,21056.1,37793
SAMSUNG FF 350L RT38DG5A2BBXHL LX BLK 2S,Refrigerator,57990,22616.1,40593
SAMSUNG FF 350L RT38DG5A2BBXHL LX BLK 2S,Refrigerator,57990,22616.1,40593
SAMSUNG FF 236L RT28C3042S8/HL ELGINX 2S,Refrigerator,32990,12866.1,23093
SAMSUNG SBS 653L RS76CG8113B1HL BLK 3S,Refrigerator,133000,51870,93100
SAMSUNG LED 32H4560 HD SMART,Television,18900,7371,13230
SAMSUNG WM TL 8KG WA80F08E2BTL BLK 5S,Washing Machine,29990,11696.1,20993
SAMSUNG M/W CON 28L MC28A5025VS/TL,Microwave,18990,7406.1,13293
SAMSUNG FF 330L RT34DG5A2BS8HL INX 2S,Refrigerator,53990,21056.1,37793
SAMSUNG FF 330L RT34DG5A2BS8HL INX 2S,Refrigerator,53990,21056.1,37793
SAMSUNG WM TL 10KG WA80F10B3NTL BLUE 5S,Washing Machine,41990,16376.1,29393
SAMSUNG LED QA55Q8F QLED 4K,Television,93400,36426,65380
