Title,Item Type,MRP (in INR),Floor Price,GR Price
SAMSUNG WM TL 8KG WA80F08B3BTL BLK 5S,Washing Machine,34990,14816,100
SAMSUNG FF 350L RT38DG5A2BBXHL LX BLK 2S,Refrigerator,57990,22947,100
SAMSUNG WM TL 8KG WA80F08E2BTL BLK 5S,Washing Machine,29990,12500,100
SAMSUNG FF 350L RT38DG5A2BBXHL LX BLK 2S,Refrigerator,57990,24104,100
SAMSUNG FF 330L RT34DG5A4DB1HL BLK 3S,Refrigerator,56990,22592,100
SAMSUNG DC 215L RR23D2H259R/HL PRPLE 5S,Refrigerator,26999,12649,100
SAMSUNG FF 236L RT28C3042S8/HL ELGINX 2S,Refrigerator,32990,14460,100
SAMSUNG FF 467L RT80F51C2FHL BLK 2S,Refrigerator,74999,31793,100
SAMSUNG W/M TL 7KG WA70BG4441BYTL DGRY,Washing Machine,22500,10553,100
SAMSUNG FF 467 L RT80F51C3KHL BLK 3S,Refrigerator,82999,35131,100
SAMSUNG WM TL 8KG WA80F08B3BTL BLK 5S,Washing Machine,34990,14816,100
SAMSUNG SBS G580/N550L RF57A5032B1 BLK,Refrigerator,108990,47549,100
SAMSUNG WM TL 8KG WA80F08E2BTL BLK 5S,Washing Machine,29990,12500,100
SAMSUNG FF 330L RT34DG5A4DB1HL BLK 3S,Refrigerator,56990,23731,100
SAMSUNG FF 330L RT34DG5A4DB1HL BLK 3S,Refrigerator,56990,22592,100
SAMSUNG FF 330L RT34DG5A2BS8HL INX 2S,Refrigerator,53990,22187,100
SAMSUNG FF 467L RT80F51C2FHL BLK 2S,Refrigerator,74999,31793,100
SAMSUNG SBS 650L RF65DB90BD12TL WHITE,Refrigerator,244000,110528,100
SAMSUNG FF 236L RT28C3042S8/HL ELGINX 2S,Refrigerator,32990,14460,100
SAMSUNG WM TL 10KG WA80F10B3NTL BLUE 5S,Washing Machine,41990,17106,100
SAMSUNG FF 236L RT28C3042S8/HL ELGINX 2S,Refrigerator,32990,14460,100
SAMSUNG FF 467 L RT80F51C3KHL BLK 3S,Refrigerator,82999,35131,100
SAMSUNG FF 467L RT80F51C2FHL BLK 2S,Refrigerator,74999,31793,100
SAMSUNG WM TL 8KG WA80F08E2BTL BLK 5S,Washing Machine,29990,12500,100
SAMSUNG WM TL 8KG WA80F08B3BTL BLK 5S,Washing Machine,34990,14816,100
SAMSUNG FF 330L RT34DG5A2BS8HL INX 2S,Refrigerator,53990,23687,100
SAMSUNG W/M TL 7KG WA70BG4441BYTL DGRY,Washing Machine,22500,10553,100
SAMSUNG WM TL 10KG WA80F10B3NTL BLUE 5S,Washing Machine,41990,17106,100
SAMSUNG SBS 650L RF65DG90BDSGTL BLK CVR,Refrigerator,226000,92639,100
SAMSUNG FF 330L RT34DG5A2BS8HL INX 2S,Refrigerator,53990,22187,100
SAMSUNG WM FL 9KG WW90DG5U24ASTL BLUE 5S,Washing Machine,52990,22501,100
SAMSUNG SBS 653L RS76CG8113B1HL BLK 3S,Refrigerator,133000,54341,100
SAMSUNG W/M TL 7KG WA70BG4441BYTL DGRY,Washing Machine,22500,8794,100
SAMSUNG FF 330L RT34DG5A2BS8HL INX 2S,Refrigerator,53990,22187,100
